idx,predicted,actual,confidence,pct_change,correct,strategy_return
0,SELL,HOLD,0.744,-0.01023970561114423,False,0.01023970561114423
4,SELL,HOLD,0.623,-0.018377326686123106,False,0.018377326686123106
8,SELL,HOLD,0.698,-0.002178495359385495,False,0.002178495359385495
12,BUY,HOLD,0.685,-0.006540906657700598,False,-0.006540906657700598
16,BUY,HOLD,1.0,9.574257271432221e-05,False,9.574257271432221e-05
20,HOLD,BUY,0.981,0.027335227222128163,False,0.0
24,SELL,HOLD,0.671,-0.00567568621841976,False,0.00567568621841976
28,BUY,HOLD,0.655,-0.01622194179454809,False,-0.01622194179454809
32,SELL,HOLD,0.653,-0.010696087553724079,False,0.010696087553724079
36,BUY,HOLD,0.725,0.0032829323348680228,False,0.0032829323348680228
40,SELL,HOLD,0.647,-0.00437705627898892,False,0.00437705627898892
44,BUY,SELL,0.872,-0.03468166624444854,False,-0.03468166624444854
48,SELL,SELL,1.0,-0.03968768216411558,True,0.03968768216411558
52,BUY,HOLD,0.665,0.013809014795718569,False,0.013809014795718569
56,SELL,HOLD,0.63,-0.010631953588671902,False,0.010631953588671902
60,BUY,HOLD,0.777,0.0033731082022707072,False,0.0033731082022707072
64,BUY,SELL,0.716,-0.038204974167968225,False,-0.038204974167968225
68,BUY,HOLD,0.796,-0.009291669477402942,False,-0.009291669477402942
72,HOLD,HOLD,0.871,0.014815954323988984,True,0.0
76,BUY,HOLD,0.684,-0.005444736299318925,False,-0.005444736299318925
80,BUY,HOLD,0.865,0.00014492174225916188,False,0.00014492174225916188
84,SELL,HOLD,0.665,0.009171217715864642,False,-0.009171217715864642
88,SELL,HOLD,0.82,0.015784327074230456,False,-0.015784327074230456
92,HOLD,BUY,0.987,0.023267149378169837,False,0.0
96,SELL,HOLD,0.773,-0.009188602132098642,False,0.009188602132098642
100,BUY,BUY,1.0,0.033196317396216306,True,0.033196317396216306
104,BUY,HOLD,1.0,0.018170396910334643,False,0.018170396910334643
108,HOLD,BUY,0.81,0.027262756209583322,False,0.0
112,HOLD,HOLD,0.938,-0.0038170570845780342,True,0.0
116,BUY,HOLD,1.0,0.0019225401645659955,False,0.0019225401645659955
120,SELL,HOLD,0.844,-0.004443889763007517,False,0.004443889763007517
124,BUY,HOLD,1.0,0.018790630204695756,False,0.018790630204695756
128,BUY,HOLD,0.819,-0.003071811841636997,False,-0.003071811841636997
132,HOLD,BUY,0.894,0.04089414336974441,False,0.0
136,SELL,HOLD,0.617,-0.002924224265344129,False,0.002924224265344129
140,SELL,SELL,0.728,-0.056322085622482115,True,0.056322085622482115
144,SELL,HOLD,0.762,0.016128814474750217,False,-0.016128814474750217
148,SELL,SELL,0.967,-0.03149756271496505,True,0.03149756271496505
152,HOLD,HOLD,0.924,-0.00592721327220134,True,0.0
156,HOLD,SELL,0.824,-0.08041397427728182,False,0.0
160,HOLD,SELL,0.975,-0.0394165440918961,False,0.0
164,SELL,HOLD,0.635,-0.015203164591574368,False,0.015203164591574368
168,BUY,BUY,1.0,0.09362943296638208,True,0.09362943296638208
172,SELL,HOLD,0.687,-0.013369022748375215,False,0.013369022748375215
176,BUY,HOLD,0.626,0.01793210943071631,False,0.01793210943071631
180,SELL,HOLD,0.717,-0.012187135854544246,False,0.012187135854544246
184,SELL,HOLD,0.93,-0.0007409321120952205,False,0.0007409321120952205
188,SELL,SELL,0.843,-0.02074440840020482,True,0.02074440840020482
192,SELL,SELL,0.987,-0.03682329352279654,True,0.03682329352279654
196,SELL,SELL,0.672,-0.0228781409926533,True,0.0228781409926533
200,HOLD,BUY,0.933,0.024355968178185278,False,0.0
204,BUY,HOLD,0.699,0.005960362427239323,False,0.005960362427239323
208,BUY,HOLD,0.69,0.0077511017967763565,False,0.0077511017967763565
212,BUY,BUY,0.627,0.02627031821031544,True,0.02627031821031544
216,SELL,HOLD,0.861,-0.011308947329211047,False,0.011308947329211047
220,SELL,SELL,0.798,-0.022929350774609673,True,0.022929350774609673
224,SELL,HOLD,0.607,-0.007840475878326097,False,0.007840475878326097
228,SELL,HOLD,0.772,-0.014397976976709883,False,0.014397976976709883
232,BUY,HOLD,0.621,0.015525762355415338,False,0.015525762355415338
236,SELL,HOLD,0.741,0.007232608346751036,False,-0.007232608346751036
240,SELL,HOLD,0.84,0.009131328707273246,False,-0.009131328707273246
244,HOLD,HOLD,0.879,0.003509460006672493,True,0.0
248,BUY,HOLD,1.0,-0.0021546528065050164,False,-0.0021546528065050164
252,BUY,BUY,1.0,0.03462009959764178,True,0.03462009959764178
256,SELL,BUY,0.732,0.023156683726898695,False,-0.023156683726898695
260,BUY,HOLD,0.979,-0.0162945023473502,False,-0.0162945023473502
264,HOLD,HOLD,0.913,-0.013416147247894715,True,0.0
268,SELL,HOLD,1.0,-0.007025813303493759,False,0.007025813303493759
272,SELL,HOLD,0.733,-0.019055050972199093,False,0.019055050972199093
276,SELL,SELL,0.753,-0.06294191502015466,True,0.06294191502015466
280,HOLD,BUY,0.867,0.05074140273886415,False,0.0
284,BUY,HOLD,0.741,-0.0032601877640997595,False,-0.0032601877640997595
288,HOLD,HOLD,0.866,0.004819520482314528,True,0.0
292,SELL,HOLD,0.695,0.002917533292611621,False,-0.002917533292611621
296,BUY,SELL,0.802,-0.03985290300695651,False,-0.03985290300695651
300,SELL,SELL,1.0,-0.028030929573393506,True,0.028030929573393506
304,SELL,SELL,0.831,-0.028082059754922215,True,0.028082059754922215
308,HOLD,SELL,0.854,-0.055160475078764266,False,0.0
312,SELL,BUY,0.738,0.036070804208910186,False,-0.036070804208910186
316,HOLD,HOLD,0.806,-0.016126791544143128,True,0.0
320,BUY,HOLD,0.647,-0.015967523680649586,False,-0.015967523680649586
324,BUY,BUY,0.869,0.029439900511790316,True,0.029439900511790316
328,BUY,HOLD,0.941,-0.008877337669880274,False,-0.008877337669880274
332,BUY,HOLD,0.749,-0.010908195943194175,False,-0.010908195943194175
336,SELL,BUY,0.824,0.06048936548373713,False,-0.06048936548373713
340,SELL,HOLD,0.742,0.008539106145251442,False,-0.008539106145251442
344,SELL,HOLD,0.845,-0.0012380316681300334,False,0.0012380316681300334
348,SELL,SELL,0.718,-0.0413992956379468,True,0.0413992956379468
352,SELL,BUY,0.722,0.026779024592037216,False,-0.026779024592037216
356,SELL,SELL,0.6,-0.02719348167849032,True,0.02719348167849032
360,SELL,SELL,0.886,-0.07390105593623839,True,0.07390105593623839
364,SELL,HOLD,0.646,-0.016680791446325362,False,0.016680791446325362
368,BUY,HOLD,0.798,0.011070650531906418,False,0.011070650531906418
372,BUY,HOLD,0.626,0.005888347865473979,False,0.005888347865473979
376,SELL,HOLD,0.653,-0.009143557606914654,False,0.009143557606914654
380,HOLD,HOLD,0.801,0.0025121187638860953,True,0.0
384,BUY,SELL,1.0,-0.061175470628974354,False,-0.061175470628974354
388,SELL,BUY,1.0,0.025396761527293046,False,-0.025396761527293046
392,HOLD,HOLD,0.958,0.004908420835772206,True,0.0
396,BUY,SELL,0.827,-0.06227099075176866,False,-0.06227099075176866
400,BUY,BUY,0.816,0.04938819985702691,True,0.04938819985702691
404,SELL,SELL,0.719,-0.07103221582153327,True,0.07103221582153327
408,BUY,SELL,0.79,-0.02026926006877454,False,-0.02026926006877454
